E54Dimension_id	permalink	label_it	label_en	close_match	related_match	type	unit	value
https://w3id.org/ficlitdl/extent/6c	https://w3id.org/ficlitdl/extent/6c	6 carte	6 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	6
https://w3id.org/ficlitdl/extent/11p	https://w3id.org/ficlitdl/extent/11p	11 pagine	11 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	11
https://w3id.org/ficlitdl/extent/12c	https://w3id.org/ficlitdl/extent/12c	12 carte	12 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	12
https://w3id.org/ficlitdl/extent/8p	https://w3id.org/ficlitdl/extent/8p	8 pagine	8 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	8
https://w3id.org/ficlitdl/extent/8c	https://w3id.org/ficlitdl/extent/8c	8 carte	8 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	8
https://w3id.org/ficlitdl/extent/22c	https://w3id.org/ficlitdl/extent/22c	22 carte	22 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	22
https://w3id.org/ficlitdl/extent/36c	https://w3id.org/ficlitdl/extent/36c	36 carte	36 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	36
https://w3id.org/ficlitdl/extent/15p	https://w3id.org/ficlitdl/extent/15p	15 pagine	15 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	15
https://w3id.org/ficlitdl/extent/7p	https://w3id.org/ficlitdl/extent/7p	7 pagine	7 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	7
https://w3id.org/ficlitdl/extent/3p	https://w3id.org/ficlitdl/extent/3p	3 pagine	3 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	3
https://w3id.org/ficlitdl/extent/12p	https://w3id.org/ficlitdl/extent/12p	12 pagine	12 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	12
https://w3id.org/ficlitdl/height/21cm	https://w3id.org/ficlitdl/height/21cm	Altezza 21 cm	Height 21 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	21
https://w3id.org/ficlitdl/extent/2p	https://w3id.org/ficlitdl/extent/2p	2 pagine	2 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	2
https://w3id.org/ficlitdl/extent/21p	https://w3id.org/ficlitdl/extent/21p	21 pagine	21 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	21
https://w3id.org/ficlitdl/extent/5c	https://w3id.org/ficlitdl/extent/5c	5 carte	5 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	5
