TABLE_HEADER(@id),TABLE_HEADER(@citation),TABLE_HEADER(@type),TABLE_HEADER(@value)
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq45/expression,"Raimondi, Giuseppe. 1956. Testo manoscritto, ""Progetti lavori per la Radio ; La valigia delle Indie. Luglio e agosto 1956"", QUADERNI.1 1956 13, Fondo Giuseppe Raimondi, Biblioteca ""Ezio Raimondi"", Dipartimento di Filologia Classica e Italianistica, Università di Bologna.",http://iflastandards.info/ns/fr/frbr/frbroo/F2_Expression,"Raimondi, Giuseppe. 1956. Testo manoscritto, ""Progetti lavori per la Radio ; La valigia delle Indie. Luglio e agosto 1956"", QUADERNI.1 1956 13, Fondo Giuseppe Raimondi, Biblioteca ""Ezio Raimondi"", Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq135/expression,"Raimondi, Giuseppe. 1959. Testo manoscritto, ""Una tragedia ad Anversa ; Jouhandeau, un figlio della Chiesa. 20.9.1959"", QUADERNI.1 1959 18, Fondo Giuseppe Raimondi, Biblioteca ""Ezio Raimondi"", Dipartimento di Filologia Classica e Italianistica, Università di Bologna.",http://iflastandards.info/ns/fr/frbr/frbroo/F2_Expression,"Raimondi, Giuseppe. 1959. Testo manoscritto, ""Una tragedia ad Anversa ; Jouhandeau, un figlio della Chiesa. 20.9.1959"", QUADERNI.1 1959 18, Fondo Giuseppe Raimondi, Biblioteca ""Ezio Raimondi"", Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
