LABEL_HEADER(dcterms:identifier),LABEL_HEADER(crm:P46i_forms_part_of),LABEL_HEADER(crm:P104_is_subject_to),LABEL_HEADER(crm:P128_carries),LABEL_HEADER(crm:P2_has_type),LABEL_HEADER(crm:P3_has_note),LABEL_HEADER(crm:P43_has_dimension),LABEL_HEADER(crm:P55_has_current_location),LABEL_HEADER(rdfs:label)
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq77/physical-object,https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1958,https://w3id.org/ficlitdl/rights/all-rights-reserved,https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq77/expression,https://w3id.org/ficlitdl/carrier-form-type/notebook,"La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958 / [Giuseppe Raimondi]. - 1958. - 1 quaderno (14 p. ms. , di cui alcune numerate irregolarmente, su 10 c.) ; 22 cm. ((A c. [3v]: 21 marzo '58, primo giorno di primavera; a c. [7v]: 3.4.1958. - Ms.",https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq77/height/22cm,https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi,"La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958 / [Giuseppe Raimondi], manuscript notebook"
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq72/physical-object,https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1958,https://w3id.org/ficlitdl/rights/all-rights-reserved,https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq72/expression,https://w3id.org/ficlitdl/carrier-form-type/notebook,"I vecchi mestieri. (2 gennaio 1958) / [Giuseppe Raimondi]. - 1958. - 1 quaderno (7 p. ms., di cui 5 numerate 2-6, su 10 c.) ; 22 cm. ((Ms.",https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq72/extent/10c,https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi,"I vecchi mestieri. (2 gennaio 1958) / [Giuseppe Raimondi], manuscript notebook"
