E54Dimension_id	permalink	label_it	label_en	close_match	related_match	type	unit	value
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1963/rdq173/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1963/rdq173/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1954/rdq10/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1954/rdq10/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1975/rdq300/extent/6p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1975/rdq300/extent/6p	6 pagine	6 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	6
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1972/rdq280/extent/6p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1972/rdq280/extent/6p	6 pagine	6 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	6
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1957/rdq61/extent/14p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1957/rdq61/extent/14p	14 pagine	14 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	14
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq242/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq242/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1955/rdq16/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1955/rdq16/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1954/rdq12/extent/21p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1954/rdq12/extent/21p	21 pagine	21 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	21
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq162/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq162/height/22cm	Altezza 22 cm	Height 22 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	22
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1966/rdq220/extent/15p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1966/rdq220/extent/15p	15 pagine	15 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	15
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1963/rdq178/extent/15p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1963/rdq178/extent/15p	15 pagine	15 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	15
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq142/extent/9p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq142/extent/9p	9 pagine	9 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	9
