E19PhysicalObject_id	permalink	type	label_it	label_en	height	extent	archival_note	expression	inventory_number	shelfmark	archival_unit	preceding_item	keeper	owner	location	right
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Dare & avere : giugno 1954 / [Giuseppe Raimondi]. Quaderno manoscritto.	Dare & avere : giugno 1954 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/extent/10c	Dare & avere : giugno 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (11 p. ms. di cui 4 numerate su 10 c.) ; 21 cm. ((In cop. anche: 1. Cardarelli e Hemingway; 2. Lorenzo Montano; 3. Lawrence d'Arabia; 4. Poesia idraulica; luglio. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. Quaderno manoscritto.	Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/extent/10c	Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (20 p. ms. di cui 5 numerate su 10 c.) ; 21 cm. ((Contiene vari titoli. - A c. [4]: 15.4.1953. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni-1	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni-1	https://w3id.org/ficlitdl/archival-unit/series	Sottoserie [Quaderni manoscritti] 1954-[1976]	Subseries [Quaderni manoscritti] 1954-[1976]			Mat. document.-manoscr 3621049 [Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno.			https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni-1/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni		https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. Quaderno manoscritto.	Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/extent/26c	Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. - 1954. - 1 quaderno (43 p. ms. numerate irregolarmente su 26 c.) ; 22 cm. ((In cop. anche: 1. L'osteria di Paderno; 2. A proposito di poveri; 3. Elio Lelio Crispo; 4. La macelleria; 1. quaderno. - A c. [25v]: 20.6.1954. - Alle cc. [7] e [22] incollati due foglietti ms. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954		https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	"Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. Quaderno manoscritto."	"Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. Manuscript notebook."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/extent/12c	"Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. - 1954. - 1 quaderno (21 p. ms. numerate su 12 c.) ; 22 cm. ((Tit. a p. 1: ""Io Giudo Reni"" : (la pittura di Guido Reni). - In cop. anche: novembre. - A p. 21: 3 nov. '54; alle pp. 11 e 14 incollati foglietti ms. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. Quaderno manoscritto.	Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/extent/13c	Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (15 p. ms. numerate su 10 c.) ; 22 cm. ((In cop. anche: conferenza. - Ms. - Vi sono inseriti fogli ms. (6 p. su 3 c.).	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. Quaderno manoscritto.	A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/extent/10c	A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (6 p. ms. su 10 c. di cui 6 numerate) ; 22 cm. ((A c. 6: 4 agosto '54. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Un mitragliamento. 27 dic. 1954 / [Giuseppe Raimondi]. Quaderno manoscritto.	Un mitragliamento. 27 dic. 1954 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/extent/10c	Un mitragliamento. 27 dic. 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (9 p. ms. numerate su 10 c.) ; 22 cm. ((A p. 9: 31.12.54, fine d'anno. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	L'osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. Quaderno manoscritto.	L'osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/extent/20c	L'osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. - 1954. - 1 quaderno 15 p. ms. numerate su 20 c.) ; 22 cm. ((Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni	https://w3id.org/ficlitdl/archival-unit/series	Serie [Quaderni manoscritti]	Series [Quaderni manoscritti]						https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/series/quaderni/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds		https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	L'ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. Quaderno manoscritto.	L'ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/extent/10c	L'ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (13 p. ms. numerate irregolarmente su 10 c.) ; 22 cm. ((A p. 12[bis]: 25.12.54. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Rimbaud in Africa / [Giuseppe Raimondi]. Quaderno manoscritto.	Rimbaud in Africa / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/extent/10c	"Rimbaud in Africa / [Giuseppe Raimondi]. - 1954. - 1 quaderno (16 p. ms. numerate su 10 c.) ; 22 cm. ((In cop. e a p. 12: 12.7.1954. - Ms. - Vi sono inseriti foglietti ms. ""Rimb. et le fascisme"" (2 c.)."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/physical-object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/physical-object	https://w3id.org/ficlitdl/carrier-type/notebook	Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. Quaderno manoscritto.	Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. Manuscript notebook.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/extent/10c	"Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. - 1954. - 1 quaderno (8 p. ms. su 10 c. di cui 6 numerate) ; 21 cm. ((In cop. anche: varie. - Contiene anche: Lady Macbeth. - Ms. - Vi e inserito dattiloscritto ""Lady Macbeth"" (2 c.)."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/file/1954	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/physical-object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/rights/all-rights-reserved
