E53Place_id	permalink	label_it	label_en	geonames	wikidata	place	address
https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	Biblioteca Ezio Raimondi, Dipartimento di filologia classica e italianistica, Università di Bologna	Ezio Raimondi library, Department of classical philology and italian studies, University of Bologna			https://w3id.org/ficlitdl/place/bologna	https://w3id.org/ficlitdl/address/via-zamboni-32-40126-Bologna-BO
https://w3id.org/ficlitdl/place/bologna	https://w3id.org/ficlitdl/place/bologna	Bologna	Bologna	http://sws.geonames.org/3181928	https://www.wikidata.org/wiki/Q1891		
