F28ExpressionCreation_id	permalink	label_it	label_en	time_span	agent	production_technique	object	expression
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq221/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq221/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Il Monsieur Teste di Longanesi. 12.4.1966 ; Gustavo Courbet in edicola. 23.4.966 ; Saluto a Carlo Carra. 27.4.966"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Il Monsieur Teste di Longanesi. 12.4.1966 ; Gustavo Courbet in edicola. 23.4.966 ; Saluto a Carlo Carra. 27.4.966"", creation."	https://w3id.org/ficlitdl/time-span/1966	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq221/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq221/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq242/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq242/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Un sogno del '43. 3 febbr. 1968 ; L'uomo all'ospedale. 8.2.1968"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Un sogno del '43. 3 febbr. 1968 ; L'uomo all'ospedale. 8.2.1968"", creation."	https://w3id.org/ficlitdl/time-span/1968	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq242/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq242/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/creation	"Raimondi, Giuseppe. Testo manoscritto, ""La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958"", creation."	https://w3id.org/ficlitdl/time-span/1958	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq17/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq17/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Fumisteria : gennaio 1955"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Fumisteria : gennaio 1955"", creation."	https://w3id.org/ficlitdl/time-span/1955	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq17/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq17/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq72/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq72/creation	"Raimondi, Giuseppe. Testo manoscritto, ""I vecchi mestieri. (2 gennaio 1958)"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""I vecchi mestieri. (2 gennaio 1958)"", creation."	https://w3id.org/ficlitdl/time-span/1958	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq72/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq72/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq109/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq109/creation	"Raimondi, Giuseppe. Testo manoscritto, ""La notte di San Lorenzo. 15.8.1959 ; Neve che si scioglie. 24.8.59"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""La notte di San Lorenzo. 15.8.1959 ; Neve che si scioglie. 24.8.59"", creation."	https://w3id.org/ficlitdl/time-span/1959	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq109/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq109/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq178/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq178/creation	"Raimondi, Giuseppe. Testo manoscritto, ""I primi eroi : (i fumetti). 2.5.1963 ; La nicchia di San Bernerdino. 7.5.1963 ; I cinquant'anni di Lacerba. 14.5.963"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""I primi eroi : (i fumetti). 2.5.1963 ; La nicchia di San Bernerdino. 7.5.1963 ; I cinquant'anni di Lacerba. 14.5.963"", creation."	https://w3id.org/ficlitdl/time-span/1963	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq178/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq178/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq215/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq215/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Il pittore Giovanni Romagnoli. 15.12.65 ; La mostra della scultura bolognese del Settecento. 20.12.65 ; Il letto alla francese. 3 gennaio 1966"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Il pittore Giovanni Romagnoli. 15.12.65 ; La mostra della scultura bolognese del Settecento. 20.12.65 ; Il letto alla francese. 3 gennaio 1966"", creation."	https://w3id.org/ficlitdl/time-span/1965	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq215/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq215/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq162/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq162/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Mantegna. Sett. 1961"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Mantegna. Sett. 1961"", creation."	https://w3id.org/ficlitdl/time-span/1961	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq162/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq162/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq25/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq25/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Varie. 1953"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Varie. 1953"", creation."	https://w3id.org/ficlitdl/time-span/1955	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq25/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq25/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/creation	"Raimondi, Giuseppe. Testo manoscritto, ""I francesi di Emilio Cecchi : saggio per la miscellanea in onore di M. Fubini. Dicembre 1969"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""I francesi di Emilio Cecchi : saggio per la miscellanea in onore di M. Fubini. Dicembre 1969"", creation."	https://w3id.org/ficlitdl/time-span/1969	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Varie. (Dicembre 1957)"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Varie. (Dicembre 1957)"", creation."	https://w3id.org/ficlitdl/time-span/1957	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq114/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq114/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Sbarbaro, come pittore. (Il 10.2.960) ; Una sera di carnevale. (18.2.960)"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Sbarbaro, come pittore. (Il 10.2.960) ; Una sera di carnevale. (18.2.960)"", creation."	https://w3id.org/ficlitdl/time-span/1960	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq114/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq114/text
