E40LegalBody_id	permalink	label_it	label_en	viaf	wikidata	homepage
https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	Alma Mater Studiorum Università di Bologna	Alma Mater Studiorum University of Bologna	https://viaf.org/viaf/155886025	https://www.wikidata.org/wiki/Q131262	https://www.unibo.it
https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	Istituto per i beni artistici, culturali e naturali della Regione Emilia-Romagna (IBC)	Istitute for cultural and natural heritage of the Region Emilia-Romagna (IBC)	http://viaf.org/viaf/130841901		https://ibc.regione.emilia-romagna.it
