F2Expression_id	permalink	label_it	label_en	creation_event	language	title	right	physical_carrier	cite_as	referenced_entity
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/text	"Raimondi, Giuseppe. Testo manoscritto, ""Incontri bolognesi con Dino Campana"""	"Raimondi, Giuseppe. Manuscript text, ""Incontri bolognesi con Dino Campana"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/object	Raimondi, Giuseppe. 1973. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 289, FR.A QUADERNI.1 1973 [03] .	https://w3id.org/ficlitdl/person/dino-campana
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/text	"Raimondi, Giuseppe. Testo manoscritto, ""Capriccio sulle conchiglie. 1.10.1965 ; Hemingway a Venezia. 5.10.965 ; L'Enciclopedia di Diderot. 13.10.965"""	"Raimondi, Giuseppe. Manuscript text, ""Capriccio sulle conchiglie. 1.10.1965 ; Hemingway a Venezia. 5.10.965 ; L'Enciclopedia di Diderot. 13.10.965"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/object	Raimondi, Giuseppe. 1965. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 211, FR.A QUADERNI.1 1965 10.	https://w3id.org/ficlitdl/person/ernest-hemingway
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq95/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq95/text	"Raimondi, Giuseppe. Testo manoscritto, ""L'otto di spade. (16.1.1959) ; I quarant'anni della Ronda. (2.2.959)"""	"Raimondi, Giuseppe. Manuscript text, ""L'otto di spade. (16.1.1959) ; I quarant'anni della Ronda. (2.2.959)"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq95/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq95/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq95/object	Raimondi, Giuseppe. 1959. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 95, FR.A QUADERNI.1 1959 3.	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq225/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq225/text	"Raimondi, Giuseppe. Testo manoscritto, ""Collages"""	"Raimondi, Giuseppe. Manuscript text, ""Collages"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq225/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq225/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq225/object	Raimondi, Giuseppe. 1966. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 225, FR.A QUADERNI.1 1966 10.	https://w3id.org/ficlitdl/person/max-ernst
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq92/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq92/text	"Raimondi, Giuseppe. Testo manoscritto, ""Note su Antonin Artaud. 24.12.58"""	"Raimondi, Giuseppe. Manuscript text, ""Note su Antonin Artaud. 24.12.58"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq92/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq92/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq92/object	Raimondi, Giuseppe. 1958. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 92, FR.A QUADERNI.1 1958 22.	https://w3id.org/ficlitdl/person/antonin-artaud
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq55/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq55/text	"Raimondi, Giuseppe. Testo manoscritto, ""Varie e Valigia. 10 aprile 1957"""	"Raimondi, Giuseppe. Manuscript text, ""Varie e Valigia. 10 aprile 1957"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq55/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq55/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq55/object	Raimondi, Giuseppe. 1957. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 55, FR.A QUADERNI.1 1957 5.	https://w3id.org/ficlitdl/person/jean-baptiste-camille-corot
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/text	"Raimondi, Giuseppe. Testo manoscritto, ""La valigia delle Indie"""	"Raimondi, Giuseppe. Manuscript text, ""La valigia delle Indie"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/title ;; https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq22/object	Raimondi, Giuseppe. 1955. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 22, FR.A QUADERNI.1 1955 7.	https://w3id.org/ficlitdl/person/guillaume-apollinaire ;; https://w3id.org/ficlitdl/person/clemente-rebora
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq122/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq122/text	"Raimondi, Giuseppe. Testo manoscritto, ""Quattro litografie di Soffici"""	"Raimondi, Giuseppe. Manuscript text, ""Quattro litografie di Soffici"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq122/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq122/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq122/object	Raimondi, Giuseppe. 1960. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 122, FR.A QUADERNI.1 1960 10.	https://w3id.org/ficlitdl/person/mario-soffici
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq243/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq243/text	"Raimondi, Giuseppe. Testo manoscritto, ""Caserma Scalo : 1930-1968"""	"Raimondi, Giuseppe. Manuscript text, ""Caserma Scalo : 1930-1968"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq243/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq243/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq243/object	Raimondi, Giuseppe. 1968. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 243, FR.A QUADERNI.1 1968 7.	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/text	"Raimondi, Giuseppe. Testo manoscritto, ""Varie. Giugno 1957"""	"Raimondi, Giuseppe. Manuscript text, ""Varie. Giugno 1957"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/title ;; https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/title	https://w3id.org/ficlitdl/right/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq58/object	Raimondi, Giuseppe. 1957. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 58, FR.A QUADERNI.1 1957 8.	https://w3id.org/ficlitdl/person/emilio-cecchi ;; https://w3id.org/ficlitdl/person/vincenzo-cardarelli
